topic|subtopic|project
(3)   สำนักงานเลขานุการผู้ว่าราชการกรุงเทพมหานคร||งานบริหารทั่วไป                                             82,258,900 บาท!!(3)   สำนักงานเลขานุการผู้ว่าราชการกรุงเทพมหานคร                         รวม   !      70,920,000 บาท!
(4)   สำนักงานคณะกรรมการข้าราชการกรุงเทพมหานคร||งานบริหารทั่วไป                                             70,920,000 บาท!!(4)   สำนักงานคณะกรรมการข้าราชการกรุงเทพมหานคร                       รวม       !199,359,000 บาท!
(5)   สำนักปลัดกรุงเทพมหานคร||งานบริหารงานบุคคล                                       199,359,000 บาท!!(5)   สำนักปลัดกรุงเทพมหานคร                                              รวม  !   1,252,316,900 บาท!
(5)   สำนักปลัดกรุงเทพมหานคร|แผนงานบริหารทั่วไป|1.  งานบริหารทั่วไป                                       212,888,400 บาท!!2.  โครงการพัฒนาระบบสารบรรณ!!อิเล็กทรอนิกส์ของกรุงเทพมหานคร                            9,800,000 บาท!
(5)   สำนักปลัดกรุงเทพมหานคร|แผนงานบริหารการคลัง|งานปกครองและทะเบียน                                   302,761,800 บาท!!ค.  แผนงานบริหารการคลัง                                                      !29,591,800 บาท!
(5)   สำนักปลัดกรุงเทพมหานคร|แผนงานบริหารงานบุคคล|งานตรวจสอบภายใน                                        29,591,800 บาท!!ง.  แผนงานบริหารงานบุคคล                                                  !160,469,500 บาท!
(5)   สำนักปลัดกรุงเทพมหานคร|แผนงานบริหารงานบุคคล|1.  งานการเจ้าหน้าที่                                       98,203,100 บาท!!2.  โครงการก่อสร้างอาคารสงเคราะห์!ข้าราชการและลูกจ้างประจำ ของกรุงเทพมหานคร!!ในพื้นที่เขตบางบอน                                         62,266,400 บาท!
(5)   สำนักปลัดกรุงเทพมหานคร|แผนงานส่งเสริมระบบบริหาร|1.  งานพัฒนาบุคลากรและองค์การ                        281,244,900 บาท!!2.  งานกฎหมายและคดี                                     38,106,200 บาท!
(5)   สำนักปลัดกรุงเทพมหานคร|แผนงานส่งเสริมระบบบริหาร|3.  งานประชาสัมพันธ์                                     101,478,900 บาท!!4.  งานผู้ตรวจราชการกรุงเทพมหานคร                      63,695,700 บาท!
(6)   สำนักการแพทย์|แผนงานส่งเสริมระบบบริหาร|5.  งานการต่างประเทศ                                     52,279,700 บาท!!(6)   สำนักการแพทย์                                                        รวม !    4,124,634,800 บาท!
(6)   สำนักการแพทย์|แผนงานบริการด้านการแพทย์|งานบริหารทั่วไปด้านการสาธารณสุข                         99,145,300 บาท!!ข.  แผนงานบริการด้านการแพทย์                                             !4,008,758,600 บาท!
(6)   สำนักการแพทย์|แผนงานบริการด้านการแพทย์|1.  งานรักษาพยาบาล โรงพยาบาลกลาง                   771,780,900 บาท!!2.  งานรักษาพยาบาล โรงพยาบาลตากสิน                 759,323,000 บาท!
(6)   สำนักการแพทย์|แผนงานบริการด้านการแพทย์|3.  โครงการก่อสร้างอาคารอเนกประสงค์!!โรงพยาบาลตากสิน                                          75,947,000 บาท!
(6)   สำนักการแพทย์|แผนงานบริการด้านการแพทย์|4.  งานรักษาพยาบาล!!โรงพยาบาลเจริญกรุงประชารักษ์                            760,261,000 บาท!
(6)   สำนักการแพทย์|แผนงานบริการด้านการแพทย์|5.  โครงการเพิ่มศักยภาพหน่วยห้องปฏิบัติการสวนหัวใจ!!และหลอดเลือด โรงพยาบาลเจริญกรุงประชารักษ์             27,000,000 บาท!
(6)   สำนักการแพทย์|แผนงานบริการด้านการแพทย์|8.  โครงการก่อสร้างอาคารหอผู้ป่วย!!โรงพยาบาลลาดกระบังกรุงเทพมหานคร                       1,000,000 บาท!
(6)   สำนักการแพทย์|แผนงานบริการด้านการแพทย์|10. โครงการก่อสร้างอาคารเวชภัณฑ์กลาง!!และหน่วยงานสนับสนุน โรงพยาบาลราชพิพัฒน์              79,013,000 บาท!
(6)   สำนักการแพทย์|แผนงานบริการด้านการแพทย์|15. โครงการก่อสร้างเขื่อนกั้นน้ำเพื่อรองรับ!!การพัฒนาพื้นที่โรงพยาบาลผู้สูงอายุบางขุนเทียน               7,000,000 บาท!
(7)   สำนักอนามัย|แผนงานพัฒนาด้านการแพทย์และอนามัย|งานพัฒนาระบบบริการทางการแพทย์                        16,730,900 บาท!!(7)   สำนักอนามัย                                                           !รวม     2,474,279,800 บาท!
(7)   สำนักอนามัย|แผนงานบริหารทั่วไป|1.  งานบริหารทั่วไปด้านการสาธารณสุข                     44,560,400 บาท!!2.  งานบริหารการพยาบาล                                 40,539,700 บาท!
(7)   สำนักอนามัย|แผนงานอนามัยสิ่งแวดล้อม|1.  งานสุขาภิบาลสิ่งแวดล้อม                               28,974,600 บาท!!2.  งานสุขาภิบาลอาหาร                                    35,219,900 บาท!
(7)   สำนักอนามัย|แผนงานอนามัย|1.  งานเภสัชกรรม                                         138,286,600 บาท!!2.  งานทันตสาธารณสุข                                   173,039,300 บาท!
(7)   สำนักอนามัย|แผนงานอนามัย|3.  งานป้องกันและบำบัดการติดยาเสพติด                   63,385,800 บาท!!4.  งานจัดบริการสาธารณสุข                            1,249,899,000 บาท!
(7)   สำนักอนามัย|แผนงานอนามัย|5.  โครงการก่อสร้างอาคารศูนย์บริการสาธารณสุข 39!!ราษฏร์บูรณะ                                                 8,000,000 บาท!
(7)   สำนักอนามัย|แผนงานอนามัย|6.  โครงการก่อสร้างอาคารศูนย์บริการสาธารณสุข 47!!คลองขวาง                                                  10,000,000 บาท!
(7)   สำนักอนามัย|แผนงานอนามัย|12. โครงการก่อสร้างอาคารศูนย์ควบคุมสุนัข!!กรุงเทพมหานคร (ประเวศ)                                   15,600,000 บาท!
