topic,price
(1)   งบกลาง,14878887438
(2)   สำนักงานเลขานุการสภากรุงเทพมหานคร,82258900
(3)   สำนักงานเลขานุการผู้ว่าราชการกรุงเทพมหานคร,70920000
(4)   สำนักงานคณะกรรมการข้าราชการกรุงเทพมหานคร,199359000
(5)   สำนักปลัดกรุงเทพมหานคร,1252316900
(6)   สำนักการแพทย์,4124634800
(7)   สำนักอนามัย,2474279800
(8)   สำนักการศึกษา,1241703800
(9)   สำนักการโยธา,9229858000
(10)  สำนักการระบายน้ำ,8213452000
(11)  สำนักการคลัง,3606450400
(12)  สำนักเทศกิจ,184580000
(13)  สำนักการจราจรและขนส่ง,4327231000
(14)  สำนักป้องกันและบรรเทาสาธารณภัย,424927020
(15)  สำนักงบประมาณกรุงเทพมหานคร,103406000
(16)  สำนักยุทธศาสตร์และประเมินผล,706753000
(17)  สำนักสิ่งแวดล้อม,7542229000
(18)  สำนักวัฒนธรรม กีฬาและการท่องเที่ยว,1397374600
(19)  สำนักพัฒนาสังคม,424785000
(20)  สำนักการวางผังและพัฒนาเมือง,316341000
